machine,nu,roc_auc,accuracy,normal_precision,normal_recall,anomaly_precision,anomaly_recall,anomaly_f1,tn,fp,fn,tp,train_normal_files,test_normal_files,test_anomaly_files
fan,0.01,0.530929,0.293867,0.220339,0.91,0.838565,0.12678,0.220259,364,36,1288,187,3675,400,1475
fan,0.05,0.530931,0.293867,0.220339,0.91,0.838565,0.12678,0.220259,364,36,1288,187,3675,400,1475
fan,0.1,0.531146,0.306667,0.218045,0.87,0.81362,0.153898,0.258837,348,52,1248,227,3675,400,1475
fan,0.2,0.531149,0.367467,0.218077,0.76,0.800416,0.261017,0.393661,304,96,1090,385,3675,400,1475
pump,0.01,0.604567,0.577103,0.526389,0.9475,0.845588,0.252193,0.388514,379,21,341,115,3349,400,456
pump,0.05,0.604578,0.577103,0.526389,0.9475,0.845588,0.252193,0.388514,379,21,341,115,3349,400,456
pump,0.1,0.607747,0.580607,0.529078,0.9325,0.821192,0.27193,0.408567,373,27,332,124,3349,400,456
pump,0.2,0.616656,0.581776,0.534768,0.8075,0.694444,0.383772,0.49435,323,77,281,175,3349,400,456
valve,0.01,0.653147,0.560865,0.509749,0.915,0.78882,0.265136,0.396875,366,34,352,127,3291,400,479
valve,0.05,0.653152,0.560865,0.509749,0.915,0.78882,0.265136,0.396875,366,34,352,127,3291,400,479
valve,0.1,0.653507,0.572241,0.517143,0.905,0.787709,0.294363,0.428571,362,38,338,141,3291,400,479
valve,0.2,0.653011,0.585893,0.529703,0.8025,0.710623,0.40501,0.515957,321,79,285,194,3291,400,479
